Region,Sweet_Preference,Festival,Language,Socio_Economic_Class,Purchase_Amount
South India,Boondi Laddu,Diwali,Malayalam,Lower,860.19
West India,Ladoo,Gudi Padwa,Gujarati,Middle,439.15
West India,Shrikhand,Navratri,Gujarati,Upper,204.58
North India,Rasgulla,Baisakhi,Punjabi,Upper,226.96
South India,Mysore Pak,Diwali,Kannada,Lower,894.72
West India,Ladoo,Diwali,Konkani,Lower,748.23
South India,Kozhukattai,Onam,Kannada,Middle,540.18
South India,Boondi Laddu,Onam,Tamil,Upper,631.8
West India,Mohanthal,Gudi Padwa,Marathi,Upper,815.57
South India,Payasam,Pongal,Kannada,Middle,615.85
North India,Rasgulla,Holi,Punjabi,Middle,473.33
West India,Puran Poli,Gudi Padwa,Gujarati,Upper,577.01
South India,Boondi Laddu,Diwali,Tamil,Lower,353.23
North India,Ladoo,Diwali,Hindi,Lower,932.3
West India,Ladoo,Gudi Padwa,Marathi,Lower,264.99
East India,Chhena Poda,Makar Sankranti,Odia,Middle,385.73
South India,Boondi Laddu,Onam,Malayalam,Lower,473.89
West India,Ladoo,Navratri,Konkani,Upper,934.89
North India,Barfi,Karva Chauth,Urdu,Lower,986.77
North India,Barfi,Karva Chauth,Hindi,Lower,412.76
West India,Puran Poli,Navratri,Konkani,Lower,616.96
North India,Ladoo,Baisakhi,Punjabi,Middle,217.95
South India,Boondi Laddu,Pongal,Tamil,Lower,937.37
South India,Payasam,Ugadi,Telugu,Lower,385.59
West India,Mohanthal,Gudi Padwa,Marathi,Middle,214.66
East India,Sandesh,Rath Yatra,Odia,Lower,892.12
South India,Kozhukattai,Ugadi,Telugu,Upper,706.76
East India,Sandesh,Durga Puja,Odia,Middle,266.55
South India,Mysore Pak,Onam,Kannada,Upper,444.93
South India,Kozhukattai,Diwali,Telugu,Lower,706.97
South India,Mysore Pak,Pongal,Telugu,Middle,559.66
West India,Ladoo,Navratri,Konkani,Lower,241.8
West India,Shrikhand,Navratri,Gujarati,Middle,835.26
South India,Kozhukattai,Onam,Tamil,Lower,748.28
East India,Rasgulla,Rath Yatra,Assamese,Middle,699.36
West India,Mohanthal,Ganesh Chaturthi,Marathi,Upper,142.35
South India,Mysore Pak,Ugadi,Tamil,Upper,820.91
East India,Pitha,Rath Yatra,Odia,Upper,569.55
South India,Mysore Pak,Onam,Tamil,Upper,226.21
West India,Puran Poli,Diwali,Konkani,Middle,125.39
West India,Mohanthal,Ganesh Chaturthi,Gujarati,Upper,742.34
West India,Shrikhand,Ganesh Chaturthi,Marathi,Lower,707.9
South India,Kozhukattai,Diwali,Malayalam,Middle,881.77
South India,Payasam,Diwali,Kannada,Middle,727.45
East India,Rasgulla,Makar Sankranti,Assamese,Upper,613.47
East India,Sandesh,Poila Baisakh,Bengali,Lower,784.13
West India,Mohanthal,Ganesh Chaturthi,Gujarati,Lower,323.43
North India,Rasgulla,Karva Chauth,Hindi,Lower,278.39
West India,Shrikhand,Ganesh Chaturthi,Marathi,Lower,632.45
East India,Sandesh,Poila Baisakh,Bengali,Middle,470.35
West India,Mohanthal,Ganesh Chaturthi,Gujarati,Lower,673.02
East India,Pitha,Poila Baisakh,Bengali,Lower,237.28
West India,Ladoo,Ganesh Chaturthi,Gujarati,Middle,577.94
East India,Chhena Poda,Rath Yatra,Assamese,Upper,240.84
West India,Ladoo,Diwali,Marathi,Upper,440.32
East India,Pitha,Makar Sankranti,Odia,Upper,846.92
North India,Ladoo,Diwali,Hindi,Middle,338.79
West India,Ladoo,Gudi Padwa,Konkani,Lower,993.94
North India,Ladoo,Baisakhi,Punjabi,Middle,232.13
North India,Gulab Jamun,Baisakhi,Urdu,Upper,785.24
South India,Mysore Pak,Diwali,Tamil,Lower,325.86
North India,Rasgulla,Baisakhi,Urdu,Upper,611.83
South India,Mysore Pak,Diwali,Malayalam,Lower,538.41
West India,Puran Poli,Navratri,Konkani,Middle,651.98
East India,Chhena Poda,Makar Sankranti,Odia,Upper,422.63
North India,Rasgulla,Karva Chauth,Urdu,Lower,213.64
East India,Chhena Poda,Poila Baisakh,Assamese,Lower,217.65
North India,Rasgulla,Diwali,Urdu,Lower,315.21
East India,Pitha,Poila Baisakh,Bengali,Upper,137.56
East India,Pitha,Makar Sankranti,Odia,Upper,248.49
South India,Mysore Pak,Diwali,Kannada,Lower,110.47
South India,Mysore Pak,Pongal,Telugu,Upper,151.1
North India,Rasgulla,Karva Chauth,Punjabi,Middle,465.48
West India,Puran Poli,Diwali,Marathi,Upper,928.17
East India,Rasgulla,Rath Yatra,Assamese,Lower,111.12
North India,Barfi,Diwali,Hindi,Upper,166.2
East India,Chhena Poda,Poila Baisakh,Bengali,Middle,647.68
North India,Ladoo,Holi,Hindi,Lower,349.86
South India,Kozhukattai,Diwali,Telugu,Upper,837.66
North India,Barfi,Karva Chauth,Urdu,Middle,498.5
West India,Mohanthal,Diwali,Marathi,Upper,506.2
West India,Ladoo,Ganesh Chaturthi,Marathi,Middle,840.99
South India,Payasam,Pongal,Kannada,Lower,876.48
West India,Ladoo,Diwali,Konkani,Middle,100.48
South India,Mysore Pak,Onam,Tamil,Upper,666.29
South India,Boondi Laddu,Pongal,Tamil,Upper,684.12
West India,Mohanthal,Navratri,Gujarati,Lower,248.9
South India,Payasam,Pongal,Kannada,Middle,773.52
North India,Gulab Jamun,Diwali,Hindi,Middle,574.34
East India,Chhena Poda,Makar Sankranti,Odia,Lower,719.93
West India,Ladoo,Diwali,Marathi,Upper,715.28
South India,Kozhukattai,Onam,Malayalam,Upper,207.34
North India,Ladoo,Karva Chauth,Urdu,Upper,758.98
North India,Ladoo,Karva Chauth,Urdu,Upper,178.27
East India,Rasgulla,Durga Puja,Assamese,Upper,617.04
South India,Payasam,Diwali,Tamil,Lower,149.08
South India,Kozhukattai,Pongal,Kannada,Middle,702.59
West India,Mohanthal,Diwali,Gujarati,Upper,343.29
West India,Shrikhand,Navratri,Gujarati,Upper,574.74
East India,Sandesh,Makar Sankranti,Assamese,Middle,279.17
West India,Puran Poli,Navratri,Gujarati,Upper,569.55
West India,Ladoo,Navratri,Gujarati,Lower,125.15
South India,Mysore Pak,Onam,Tamil,Upper,629.43
North India,Ladoo,Holi,Punjabi,Upper,127.86
North India,Gulab Jamun,Holi,Urdu,Middle,567.96
South India,Boondi Laddu,Onam,Malayalam,Middle,608.23
West India,Ladoo,Gudi Padwa,Marathi,Upper,738.31
East India,Chhena Poda,Durga Puja,Assamese,Lower,444.2
North India,Ladoo,Holi,Punjabi,Lower,690.57
West India,Puran Poli,Gudi Padwa,Gujarati,Lower,106.11
West India,Ladoo,Gudi Padwa,Konkani,Upper,768.31
South India,Mysore Pak,Pongal,Tamil,Middle,147.19
West India,Mohanthal,Diwali,Konkani,Upper,939.4
West India,Ladoo,Ganesh Chaturthi,Konkani,Lower,359.72
South India,Kozhukattai,Onam,Kannada,Upper,716.24
South India,Payasam,Ugadi,Telugu,Upper,667.21
North India,Barfi,Holi,Punjabi,Lower,428.87
South India,Mysore Pak,Diwali,Malayalam,Lower,519.3
North India,Gulab Jamun,Holi,Hindi,Middle,942.84
North India,Ladoo,Karva Chauth,Hindi,Upper,368.56
North India,Rasgulla,Karva Chauth,Punjabi,Upper,490.69
East India,Sandesh,Makar Sankranti,Assamese,Lower,340.47
West India,Puran Poli,Diwali,Gujarati,Middle,494.7
East India,Chhena Poda,Makar Sankranti,Odia,Upper,992.63
South India,Boondi Laddu,Pongal,Telugu,Middle,618.68
North India,Ladoo,Karva Chauth,Hindi,Middle,218.27
West India,Mohanthal,Ganesh Chaturthi,Konkani,Lower,911.06
South India,Boondi Laddu,Onam,Telugu,Upper,182.21
West India,Mohanthal,Diwali,Gujarati,Middle,215.54
North India,Rasgulla,Baisakhi,Punjabi,Upper,267.36
South India,Mysore Pak,Pongal,Malayalam,Middle,305.39
North India,Gulab Jamun,Baisakhi,Urdu,Upper,420.56
East India,Chhena Poda,Makar Sankranti,Odia,Upper,644.02
East India,Rasgulla,Makar Sankranti,Bengali,Lower,388.71
North India,Gulab Jamun,Karva Chauth,Hindi,Middle,960.43
South India,Boondi Laddu,Onam,Kannada,Middle,925.43
West India,Shrikhand,Navratri,Marathi,Middle,507.33
South India,Mysore Pak,Pongal,Kannada,Upper,888.39
North India,Barfi,Holi,Hindi,Middle,212.0
West India,Ladoo,Ganesh Chaturthi,Konkani,Middle,299.17
East India,Pitha,Durga Puja,Odia,Lower,879.89
North India,Barfi,Karva Chauth,Hindi,Upper,989.01
West India,Ladoo,Diwali,Gujarati,Upper,318.11
East India,Rasgulla,Rath Yatra,Bengali,Lower,118.53
North India,Ladoo,Diwali,Urdu,Lower,428.17
West India,Puran Poli,Gudi Padwa,Gujarati,Middle,905.1
West India,Puran Poli,Navratri,Gujarati,Lower,308.17
South India,Payasam,Ugadi,Telugu,Middle,569.95
South India,Boondi Laddu,Onam,Telugu,Lower,845.09
West India,Mohanthal,Diwali,Marathi,Upper,821.12
North India,Rasgulla,Holi,Punjabi,Middle,447.15
South India,Boondi Laddu,Pongal,Telugu,Upper,199.33
North India,Ladoo,Holi,Hindi,Middle,200.89
South India,Kozhukattai,Pongal,Kannada,Upper,443.72
North India,Barfi,Holi,Hindi,Lower,451.72
East India,Rasgulla,Rath Yatra,Assamese,Upper,316.02
South India,Boondi Laddu,Pongal,Kannada,Lower,397.92
East India,Sandesh,Rath Yatra,Odia,Middle,842.42
South India,Payasam,Diwali,Malayalam,Lower,795.64
South India,Mysore Pak,Ugadi,Malayalam,Upper,716.65
East India,Rasgulla,Durga Puja,Odia,Upper,844.81
North India,Ladoo,Holi,Hindi,Middle,577.01
North India,Rasgulla,Holi,Hindi,Middle,600.37
West India,Mohanthal,Gudi Padwa,Marathi,Middle,688.59
North India,Ladoo,Karva Chauth,Hindi,Lower,650.31
South India,Kozhukattai,Diwali,Kannada,Lower,103.27
North India,Ladoo,Baisakhi,Hindi,Lower,306.44
West India,Shrikhand,Ganesh Chaturthi,Marathi,Lower,357.58
East India,Chhena Poda,Rath Yatra,Odia,Middle,476.11
East India,Pitha,Makar Sankranti,Bengali,Middle,634.91
South India,Boondi Laddu,Ugadi,Tamil,Upper,783.73
North India,Barfi,Karva Chauth,Hindi,Middle,741.81
East India,Sandesh,Rath Yatra,Bengali,Middle,250.87
East India,Sandesh,Rath Yatra,Assamese,Middle,357.43
South India,Boondi Laddu,Diwali,Tamil,Lower,394.96
West India,Shrikhand,Gudi Padwa,Gujarati,Lower,107.6
South India,Kozhukattai,Pongal,Malayalam,Lower,554.39
North India,Ladoo,Karva Chauth,Punjabi,Lower,690.17
North India,Barfi,Holi,Punjabi,Lower,439.05
West India,Ladoo,Diwali,Gujarati,Middle,655.91
North India,Ladoo,Baisakhi,Urdu,Lower,834.47
East India,Chhena Poda,Makar Sankranti,Assamese,Lower,831.68
South India,Boondi Laddu,Onam,Kannada,Lower,371.51
East India,Chhena Poda,Rath Yatra,Bengali,Middle,142.55
West India,Mohanthal,Diwali,Gujarati,Middle,441.08
East India,Rasgulla,Rath Yatra,Odia,Middle,592.62
East India,Pitha,Makar Sankranti,Assamese,Lower,214.35
East India,Rasgulla,Rath Yatra,Bengali,Lower,919.7
North India,Ladoo,Karva Chauth,Punjabi,Upper,481.81
North India,Ladoo,Karva Chauth,Urdu,Lower,680.49
East India,Chhena Poda,Poila Baisakh,Assamese,Lower,400.44
South India,Boondi Laddu,Diwali,Tamil,Upper,190.77
South India,Mysore Pak,Onam,Malayalam,Upper,507.24
North India,Rasgulla,Karva Chauth,Hindi,Middle,390.73
South India,Boondi Laddu,Pongal,Malayalam,Middle,762.02
East India,Chhena Poda,Poila Baisakh,Bengali,Upper,380.43
East India,Rasgulla,Durga Puja,Odia,Middle,225.74
South India,Boondi Laddu,Diwali,Kannada,Lower,727.9
East India,Pitha,Rath Yatra,Bengali,Upper,765.47
North India,Barfi,Holi,Urdu,Middle,717.72
South India,Mysore Pak,Pongal,Tamil,Upper,349.92
North India,Barfi,Diwali,Hindi,Upper,476.42
East India,Pitha,Rath Yatra,Assamese,Middle,918.22
East India,Rasgulla,Durga Puja,Bengali,Middle,965.73
East India,Sandesh,Makar Sankranti,Odia,Upper,398.55
South India,Mysore Pak,Pongal,Kannada,Lower,759.72
North India,Barfi,Diwali,Urdu,Lower,619.66
South India,Payasam,Pongal,Kannada,Middle,330.56
West India,Puran Poli,Navratri,Konkani,Middle,694.14
North India,Rasgulla,Karva Chauth,Hindi,Upper,391.95
North India,Ladoo,Karva Chauth,Urdu,Upper,309.87
West India,Puran Poli,Diwali,Konkani,Lower,954.49
North India,Ladoo,Karva Chauth,Hindi,Upper,720.63
North India,Ladoo,Holi,Punjabi,Lower,891.66
South India,Boondi Laddu,Diwali,Tamil,Upper,652.5
East India,Pitha,Durga Puja,Assamese,Middle,577.26
West India,Ladoo,Navratri,Konkani,Middle,253.63
West India,Ladoo,Gudi Padwa,Marathi,Middle,701.72
South India,Mysore Pak,Onam,Tamil,Lower,231.48
South India,Mysore Pak,Diwali,Tamil,Lower,817.78
North India,Gulab Jamun,Baisakhi,Urdu,Middle,645.64
North India,Rasgulla,Diwali,Hindi,Upper,639.12
North India,Barfi,Diwali,Punjabi,Lower,705.38
South India,Payasam,Diwali,Telugu,Lower,176.21
West India,Puran Poli,Navratri,Gujarati,Middle,887.97
East India,Pitha,Poila Baisakh,Bengali,Upper,535.77
North India,Barfi,Holi,Urdu,Middle,410.2
East India,Sandesh,Rath Yatra,Assamese,Lower,557.2
South India,Boondi Laddu,Ugadi,Tamil,Lower,476.99
West India,Puran Poli,Gudi Padwa,Konkani,Middle,951.33
West India,Shrikhand,Gudi Padwa,Konkani,Lower,643.37
South India,Boondi Laddu,Pongal,Tamil,Lower,763.24
West India,Mohanthal,Ganesh Chaturthi,Konkani,Middle,737.65
North India,Rasgulla,Diwali,Hindi,Middle,124.54
West India,Puran Poli,Navratri,Konkani,Middle,879.04
East India,Pitha,Poila Baisakh,Assamese,Lower,175.11
East India,Sandesh,Rath Yatra,Assamese,Upper,424.86
South India,Mysore Pak,Diwali,Telugu,Lower,691.63
West India,Puran Poli,Ganesh Chaturthi,Konkani,Middle,479.04
South India,Mysore Pak,Diwali,Telugu,Lower,847.23
South India,Kozhukattai,Onam,Malayalam,Middle,880.45
South India,Kozhukattai,Pongal,Telugu,Upper,511.93
North India,Barfi,Baisakhi,Urdu,Upper,154.84
South India,Payasam,Onam,Tamil,Middle,572.42
West India,Ladoo,Ganesh Chaturthi,Konkani,Upper,780.37
West India,Shrikhand,Gudi Padwa,Gujarati,Upper,529.47
West India,Puran Poli,Ganesh Chaturthi,Konkani,Lower,980.3
West India,Puran Poli,Diwali,Marathi,Middle,298.76
West India,Shrikhand,Navratri,Konkani,Lower,333.19
South India,Mysore Pak,Pongal,Tamil,Upper,295.18
West India,Ladoo,Navratri,Konkani,Upper,165.92
West India,Shrikhand,Diwali,Marathi,Upper,302.82
North India,Rasgulla,Karva Chauth,Punjabi,Middle,826.35
East India,Chhena Poda,Makar Sankranti,Bengali,Middle,352.53
West India,Mohanthal,Diwali,Gujarati,Lower,404.29
South India,Kozhukattai,Onam,Telugu,Upper,234.92
South India,Mysore Pak,Ugadi,Kannada,Upper,960.26
East India,Pitha,Makar Sankranti,Assamese,Upper,340.81
East India,Chhena Poda,Poila Baisakh,Assamese,Upper,779.74
East India,Sandesh,Rath Yatra,Assamese,Middle,501.16
West India,Puran Poli,Gudi Padwa,Gujarati,Upper,846.27
West India,Ladoo,Diwali,Marathi,Middle,701.27
South India,Kozhukattai,Onam,Telugu,Middle,184.44
South India,Boondi Laddu,Pongal,Telugu,Lower,660.08
South India,Kozhukattai,Ugadi,Telugu,Lower,127.39
North India,Barfi,Diwali,Punjabi,Upper,746.56
East India,Chhena Poda,Makar Sankranti,Assamese,Lower,911.56
North India,Ladoo,Baisakhi,Urdu,Upper,980.48
West India,Mohanthal,Gudi Padwa,Konkani,Lower,310.61
East India,Sandesh,Makar Sankranti,Bengali,Middle,939.85
West India,Mohanthal,Ganesh Chaturthi,Gujarati,Lower,912.71
South India,Boondi Laddu,Pongal,Tamil,Lower,211.56
North India,Barfi,Baisakhi,Punjabi,Upper,620.24
North India,Barfi,Karva Chauth,Punjabi,Upper,220.22
West India,Shrikhand,Diwali,Gujarati,Lower,301.89
North India,Rasgulla,Holi,Punjabi,Upper,938.48
South India,Kozhukattai,Ugadi,Telugu,Upper,415.63
South India,Boondi Laddu,Pongal,Malayalam,Lower,875.76
East India,Chhena Poda,Durga Puja,Odia,Lower,421.54
West India,Mohanthal,Diwali,Gujarati,Middle,100.03
North India,Rasgulla,Karva Chauth,Hindi,Lower,148.61
East India,Chhena Poda,Rath Yatra,Odia,Middle,896.99
North India,Barfi,Baisakhi,Punjabi,Upper,700.41
East India,Sandesh,Poila Baisakh,Assamese,Middle,331.38
South India,Boondi Laddu,Ugadi,Telugu,Lower,726.26
South India,Payasam,Ugadi,Tamil,Lower,206.36
North India,Rasgulla,Holi,Punjabi,Middle,614.53
North India,Rasgulla,Holi,Punjabi,Middle,405.64
East India,Chhena Poda,Rath Yatra,Odia,Lower,555.28
West India,Mohanthal,Gudi Padwa,Konkani,Lower,203.04
West India,Puran Poli,Navratri,Konkani,Lower,305.58
East India,Chhena Poda,Rath Yatra,Odia,Lower,782.12
North India,Gulab Jamun,Karva Chauth,Urdu,Middle,136.16
South India,Payasam,Onam,Telugu,Lower,139.51
North India,Gulab Jamun,Diwali,Urdu,Middle,225.65
South India,Mysore Pak,Diwali,Malayalam,Middle,943.65
South India,Boondi Laddu,Onam,Telugu,Middle,350.95
West India,Puran Poli,Navratri,Gujarati,Upper,379.43
East India,Sandesh,Poila Baisakh,Bengali,Middle,533.61
East India,Chhena Poda,Rath Yatra,Bengali,Upper,266.72
North India,Ladoo,Karva Chauth,Hindi,Upper,332.54
North India,Rasgulla,Baisakhi,Punjabi,Upper,518.38
South India,Payasam,Pongal,Malayalam,Upper,246.01
West India,Puran Poli,Gudi Padwa,Gujarati,Middle,987.9
West India,Ladoo,Gudi Padwa,Konkani,Upper,463.19
East India,Pitha,Durga Puja,Bengali,Lower,193.54
North India,Rasgulla,Karva Chauth,Hindi,Lower,264.48
West India,Mohanthal,Navratri,Gujarati,Upper,695.18
East India,Rasgulla,Makar Sankranti,Bengali,Middle,386.44
East India,Rasgulla,Poila Baisakh,Assamese,Middle,378.48
North India,Barfi,Karva Chauth,Punjabi,Middle,745.71
East India,Rasgulla,Poila Baisakh,Bengali,Upper,658.38
North India,Gulab Jamun,Holi,Urdu,Upper,486.34
North India,Barfi,Baisakhi,Urdu,Lower,874.61
North India,Rasgulla,Diwali,Hindi,Upper,226.56
North India,Gulab Jamun,Karva Chauth,Hindi,Upper,336.07
North India,Ladoo,Diwali,Punjabi,Upper,575.54
North India,Rasgulla,Baisakhi,Urdu,Upper,681.64
North India,Rasgulla,Baisakhi,Urdu,Lower,768.7
North India,Barfi,Karva Chauth,Urdu,Lower,154.11
North India,Barfi,Karva Chauth,Punjabi,Lower,371.1
West India,Puran Poli,Gudi Padwa,Konkani,Lower,920.22
North India,Ladoo,Holi,Hindi,Lower,367.97
West India,Mohanthal,Diwali,Gujarati,Lower,589.91
West India,Mohanthal,Ganesh Chaturthi,Gujarati,Upper,981.51
North India,Rasgulla,Baisakhi,Urdu,Upper,506.06
North India,Rasgulla,Baisakhi,Punjabi,Middle,602.16
South India,Boondi Laddu,Onam,Telugu,Middle,249.54
North India,Barfi,Karva Chauth,Punjabi,Middle,157.61
West India,Ladoo,Diwali,Marathi,Middle,642.11
South India,Boondi Laddu,Pongal,Tamil,Upper,622.53
South India,Boondi Laddu,Diwali,Tamil,Upper,657.19
South India,Kozhukattai,Onam,Malayalam,Middle,115.07
North India,Barfi,Diwali,Punjabi,Lower,367.58
East India,Pitha,Rath Yatra,Odia,Lower,721.88
East India,Pitha,Durga Puja,Assamese,Upper,216.91
South India,Boondi Laddu,Onam,Kannada,Middle,622.04
South India,Kozhukattai,Diwali,Kannada,Lower,820.8
North India,Ladoo,Baisakhi,Punjabi,Middle,792.61
West India,Shrikhand,Gudi Padwa,Gujarati,Lower,909.13
South India,Mysore Pak,Onam,Telugu,Lower,708.84
West India,Mohanthal,Diwali,Konkani,Upper,683.38
West India,Ladoo,Diwali,Marathi,Middle,763.32
South India,Kozhukattai,Diwali,Malayalam,Upper,333.29
North India,Ladoo,Karva Chauth,Punjabi,Middle,761.16
South India,Payasam,Ugadi,Telugu,Upper,302.04
West India,Mohanthal,Diwali,Gujarati,Middle,653.44
West India,Ladoo,Ganesh Chaturthi,Marathi,Lower,745.55
East India,Sandesh,Poila Baisakh,Assamese,Middle,503.54
West India,Shrikhand,Gudi Padwa,Konkani,Upper,733.41
West India,Ladoo,Gudi Padwa,Marathi,Middle,647.92
South India,Boondi Laddu,Onam,Telugu,Lower,721.04
South India,Kozhukattai,Onam,Telugu,Lower,154.73
West India,Ladoo,Navratri,Konkani,Middle,226.11
South India,Mysore Pak,Diwali,Tamil,Middle,254.13
East India,Pitha,Rath Yatra,Odia,Upper,916.74
East India,Chhena Poda,Makar Sankranti,Assamese,Upper,883.31
North India,Ladoo,Baisakhi,Punjabi,Upper,692.3
North India,Gulab Jamun,Karva Chauth,Urdu,Lower,699.14
North India,Rasgulla,Karva Chauth,Urdu,Middle,827.68
North India,Gulab Jamun,Diwali,Urdu,Lower,103.37
South India,Mysore Pak,Ugadi,Kannada,Middle,263.98
North India,Barfi,Baisakhi,Hindi,Lower,579.27
North India,Barfi,Holi,Hindi,Middle,762.24
North India,Ladoo,Baisakhi,Urdu,Lower,335.38
South India,Kozhukattai,Pongal,Tamil,Lower,233.2
South India,Mysore Pak,Pongal,Malayalam,Lower,246.51
South India,Kozhukattai,Onam,Kannada,Upper,127.39
South India,Mysore Pak,Onam,Malayalam,Lower,842.64
East India,Rasgulla,Rath Yatra,Odia,Upper,916.19
East India,Sandesh,Durga Puja,Bengali,Lower,565.95
North India,Ladoo,Baisakhi,Punjabi,Upper,243.49
East India,Chhena Poda,Rath Yatra,Odia,Middle,878.37
South India,Kozhukattai,Onam,Tamil,Upper,817.6
East India,Chhena Poda,Poila Baisakh,Odia,Upper,710.55
East India,Sandesh,Makar Sankranti,Assamese,Lower,933.25
West India,Puran Poli,Ganesh Chaturthi,Gujarati,Middle,314.18
South India,Boondi Laddu,Diwali,Kannada,Middle,887.05
North India,Barfi,Karva Chauth,Punjabi,Upper,721.39
West India,Shrikhand,Gudi Padwa,Marathi,Upper,405.02
North India,Gulab Jamun,Diwali,Punjabi,Lower,690.31
North India,Barfi,Baisakhi,Punjabi,Lower,625.67
South India,Payasam,Pongal,Tamil,Middle,985.92
East India,Chhena Poda,Rath Yatra,Assamese,Upper,808.36
East India,Pitha,Durga Puja,Odia,Middle,636.28
East India,Chhena Poda,Rath Yatra,Assamese,Lower,919.92
South India,Mysore Pak,Pongal,Malayalam,Middle,275.24
North India,Rasgulla,Karva Chauth,Hindi,Lower,523.05
North India,Gulab Jamun,Holi,Punjabi,Middle,708.35
East India,Chhena Poda,Durga Puja,Bengali,Middle,678.45
North India,Ladoo,Baisakhi,Punjabi,Middle,200.74
East India,Sandesh,Rath Yatra,Assamese,Upper,302.15
South India,Payasam,Ugadi,Malayalam,Middle,465.86
East India,Sandesh,Durga Puja,Odia,Lower,441.97
West India,Shrikhand,Navratri,Konkani,Upper,600.48
West India,Puran Poli,Navratri,Marathi,Upper,990.18
West India,Puran Poli,Diwali,Marathi,Lower,659.74
East India,Rasgulla,Rath Yatra,Bengali,Upper,276.53
North India,Ladoo,Baisakhi,Punjabi,Upper,353.27
East India,Pitha,Durga Puja,Assamese,Middle,221.84
South India,Payasam,Pongal,Malayalam,Middle,948.31
West India,Mohanthal,Gudi Padwa,Konkani,Middle,197.71
North India,Rasgulla,Diwali,Hindi,Lower,191.46
North India,Barfi,Karva Chauth,Urdu,Middle,218.8
East India,Sandesh,Poila Baisakh,Odia,Middle,904.55
West India,Shrikhand,Gudi Padwa,Konkani,Middle,492.95
North India,Gulab Jamun,Diwali,Hindi,Upper,695.95
North India,Gulab Jamun,Holi,Punjabi,Upper,882.22
East India,Chhena Poda,Makar Sankranti,Odia,Middle,302.77
West India,Mohanthal,Gudi Padwa,Konkani,Upper,350.6
West India,Ladoo,Ganesh Chaturthi,Marathi,Upper,546.81
North India,Barfi,Holi,Urdu,Middle,431.79
South India,Payasam,Pongal,Tamil,Lower,341.65
West India,Mohanthal,Ganesh Chaturthi,Marathi,Middle,310.73
West India,Shrikhand,Ganesh Chaturthi,Konkani,Upper,142.94
North India,Ladoo,Diwali,Punjabi,Lower,516.08
South India,Boondi Laddu,Pongal,Malayalam,Middle,119.92
West India,Mohanthal,Navratri,Marathi,Middle,593.78
East India,Chhena Poda,Durga Puja,Bengali,Middle,496.97
North India,Gulab Jamun,Holi,Punjabi,Lower,569.65
South India,Mysore Pak,Diwali,Telugu,Middle,162.44
East India,Sandesh,Makar Sankranti,Assamese,Middle,488.33
West India,Puran Poli,Ganesh Chaturthi,Konkani,Upper,720.77
East India,Chhena Poda,Durga Puja,Assamese,Upper,630.77
South India,Payasam,Diwali,Telugu,Lower,738.19
East India,Sandesh,Makar Sankranti,Bengali,Middle,919.59
East India,Rasgulla,Poila Baisakh,Bengali,Lower,913.63
North India,Barfi,Baisakhi,Punjabi,Lower,784.57
South India,Payasam,Onam,Malayalam,Middle,588.44
East India,Sandesh,Makar Sankranti,Odia,Upper,532.16
West India,Shrikhand,Navratri,Gujarati,Lower,395.64
North India,Gulab Jamun,Diwali,Urdu,Upper,650.12
South India,Boondi Laddu,Diwali,Tamil,Lower,347.65
West India,Puran Poli,Gudi Padwa,Marathi,Middle,499.83
South India,Mysore Pak,Onam,Telugu,Middle,438.33
North India,Rasgulla,Karva Chauth,Punjabi,Lower,978.79
South India,Payasam,Ugadi,Telugu,Lower,100.86
South India,Boondi Laddu,Pongal,Telugu,Lower,562.99
South India,Boondi Laddu,Diwali,Telugu,Upper,893.31
North India,Barfi,Holi,Urdu,Upper,412.96
West India,Shrikhand,Ganesh Chaturthi,Marathi,Middle,127.18
West India,Mohanthal,Navratri,Marathi,Upper,799.32
North India,Barfi,Holi,Punjabi,Upper,976.01
South India,Payasam,Onam,Kannada,Upper,634.73
East India,Pitha,Rath Yatra,Bengali,Lower,859.61
East India,Chhena Poda,Makar Sankranti,Odia,Middle,452.61
East India,Sandesh,Durga Puja,Assamese,Middle,527.76
South India,Boondi Laddu,Pongal,Tamil,Upper,402.2
West India,Shrikhand,Ganesh Chaturthi,Gujarati,Middle,858.46
East India,Rasgulla,Durga Puja,Odia,Lower,649.04
South India,Payasam,Diwali,Tamil,Middle,422.85
East India,Rasgulla,Rath Yatra,Assamese,Upper,319.13
North India,Barfi,Holi,Hindi,Upper,108.4
South India,Kozhukattai,Diwali,Kannada,Middle,473.66
South India,Kozhukattai,Ugadi,Tamil,Upper,487.28
South India,Kozhukattai,Ugadi,Telugu,Lower,907.09
North India,Ladoo,Karva Chauth,Punjabi,Middle,652.6
North India,Barfi,Karva Chauth,Punjabi,Upper,188.75
North India,Rasgulla,Karva Chauth,Punjabi,Middle,269.33
West India,Shrikhand,Diwali,Marathi,Upper,520.61
North India,Gulab Jamun,Holi,Urdu,Middle,563.07
East India,Sandesh,Makar Sankranti,Bengali,Lower,699.43
East India,Rasgulla,Poila Baisakh,Bengali,Lower,352.72
South India,Boondi Laddu,Diwali,Telugu,Middle,802.24
West India,Puran Poli,Diwali,Konkani,Middle,830.64
North India,Gulab Jamun,Karva Chauth,Hindi,Upper,610.61
North India,Barfi,Diwali,Hindi,Upper,531.1
North India,Ladoo,Karva Chauth,Urdu,Middle,714.59
East India,Chhena Poda,Makar Sankranti,Bengali,Lower,536.41
